AGS;Stadtteil_Nr;Stadtteil;Stichtag;Quelle;Wohnbev_insg;Deutsch;Nichtdeutsch
8335043;110;Litzelstetten;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;3823;3425;398
8335043;120;Dingelsdorf;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;2082;1897;185
8335043;130;Dettingen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;3342;2988;354
8335043;140;Wallhausen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;1135;971;164
8335043;10;Altstadt;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;12138;10312;1826
8335043;20;Paradies;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;6097;5336;761
8335043;30;Petershausen-West;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;16021;12686;3335
8335043;35;Petershausen-Ost;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;7248;6374;874
8335043;40;Koenigsbau;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;6181;5017;1164
8335043;50;Allmannsdorf;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;5348;4795;553
8335043;60;Staad;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1779;1628;151
8335043;70;Fuerstenberg;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;12500;10081;2419
8335043;80;Wollmatingen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;6775;5721;1054
8335043;90;Industriegebiet;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1048;635;413
8335043;100;Egg;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;812;725;87
8335043;110;Litzelstetten;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;3861;3469;392
8335043;120;Dingelsdorf;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;2098;1897;201
8335043;130;Dettingen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;3289;2961;328
8335043;140;Wallhausen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1137;975;162
8335043;10;Altstadt;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;12116;10329;1787
8335043;20;Paradies;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;6113;5341;772
8335043;30;Petershausen-West;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;16002;12762;3240
8335043;35;Petershausen-Ost;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;7273;6388;885
8335043;40;Koenigsbau;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;6248;5067;1181
8335043;50;Allmannsdorf;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;5341;4788;553
8335043;60;Staad;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;1793;1637;156
8335043;70;Fuerstenberg;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;12346;10006;2340
8335043;80;Wollmatingen;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;6784;5774;1010
8335043;90;Industriegebiet;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;1093;673;420
8335043;100;Egg;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;763;671;92
8335043;110;Litzelstetten;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;3831;3440;391
8335043;120;Dingelsdorf;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;2094;1896;198
8335043;130;Dettingen;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;3270;2959;311
8335043;140;Wallhausen;31.12.2018;Stadt Konstanz - Eigene Einwohnerfortschreibung;1123;987;136
8335043;10;Altstadt;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;12064;10339;1725
8335043;20;Paradies;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;6161;5348;813
8335043;30;Petershausen-West;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;15616;12507;3109
8335043;35;Petershausen-Ost;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;7187;6398;789
8335043;40;Koenigsbau;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;6194;5062;1132
8335043;50;Allmannsdorf;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;5334;4792;542
8335043;60;Staad;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;1813;1644;169
8335043;70;Fuerstenberg;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;12433;10144;2289
8335043;80;Wollmatingen;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;6795;5842;953
8335043;90;Industriegebiet;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;1108;681;427
8335043;100;Egg;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;761;680;81
8335043;110;Litzelstetten;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;3814;3425;389
8335043;120;Dingelsdorf;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;2131;1918;213
8335043;130;Dettingen;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;3334;3001;333
8335043;140;Wallhausen;31.12.2017;Stadt Konstanz - Eigene Einwohnerfortschreibung;1147;1014;133
8335043;10;Altstadt;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;11950;10305;1645
8335043;20;Paradies;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;6116;5246;870
8335043;30;Petershausen-West;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;15552;12503;3049
8335043;35;Petershausen-Ost;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;7156;6370;786
8335043;40;Koenigsbau;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;6146;4973;1173
8335043;50;Allmannsdorf;31.12.2016;Stadt Konstanz - Eigene Einwohnerfortschreibung;5305;4803;502
