AGS;Stadtteil_Nr;Stadtteil;Jahr ;Quelle;Kaufkraft-Index (pro Einwohner)
08335043;140;Wallhausen;2018;GfK Kaufkraft Deutschland ;124,4853101
08335043;000;Stadt Konstanz gesamt;2017;GfK Kaufkraft Deutschland ;100
08335043;010;Altstadt;2017;GfK Kaufkraft Deutschland ;99,17438996
08335043;020;Paradies;2017;GfK Kaufkraft Deutschland ;79,20702982
08335043;030;Petershausen-West;2017;GfK Kaufkraft Deutschland ;82,43920323
08335043;035;Petershausen-Ost;2017;GfK Kaufkraft Deutschland ;123,1531597
08335043;040;Koenigsbau;2017;GfK Kaufkraft Deutschland ;89,01851857
08335043;050;Allmannsdorf;2017;GfK Kaufkraft Deutschland ;124,5831404
08335043;060;Staad;2017;GfK Kaufkraft Deutschland ;132,6453465
08335043;070;Fuerstenberg;2017;GfK Kaufkraft Deutschland ;95,67787309
08335043;080;Wollmatingen;2017;GfK Kaufkraft Deutschland ;89,49362311
08335043;090;Industriegebiet;2017;GfK Kaufkraft Deutschland ;82,19207887
08335043;100;Egg;2017;GfK Kaufkraft Deutschland ;108,5443597
08335043;110;Litzelstetten;2017;GfK Kaufkraft Deutschland ;130,7019295
08335043;120;Dingelsdorf;2017;GfK Kaufkraft Deutschland ;122,912984
08335043;130;Dettingen;2017;GfK Kaufkraft Deutschland ;114,4506068
08335043;140;Wallhausen;2017;GfK Kaufkraft Deutschland ;124,2441449
08335043;000;Stadt Konstanz gesamt;2016;GfK Kaufkraft Deutschland ;100
08335043;010;Altstadt;2016;GfK Kaufkraft Deutschland ;97,8875222
08335043;020;Paradies;2016;GfK Kaufkraft Deutschland ;78,09823503
08335043;030;Petershausen-West;2016;GfK Kaufkraft Deutschland ;83,4628129
08335043;035;Petershausen-Ost;2016;GfK Kaufkraft Deutschland ;122,9723512
08335043;040;Koenigsbau;2016;GfK Kaufkraft Deutschland ;91,74469855
08335043;050;Allmannsdorf;2016;GfK Kaufkraft Deutschland ;123,9436458
08335043;060;Staad;2016;GfK Kaufkraft Deutschland ;132,5740316
08335043;070;Fuerstenberg;2016;GfK Kaufkraft Deutschland ;96,0114961
08335043;080;Wollmatingen;2016;GfK Kaufkraft Deutschland ;88,38361073
08335043;090;Industriegebiet;2016;GfK Kaufkraft Deutschland ;84,09394192
08335043;100;Egg;2016;GfK Kaufkraft Deutschland ;101,8344421
08335043;110;Litzelstetten;2016;GfK Kaufkraft Deutschland ;130,0128246
08335043;120;Dingelsdorf;2016;GfK Kaufkraft Deutschland ;122,1891316
08335043;130;Dettingen;2016;GfK Kaufkraft Deutschland ;116,2334674
08335043;140;Wallhausen;2016;GfK Kaufkraft Deutschland ;119,6445644
08335043;000;Stadt Konstanz gesamt;2015;GfK Kaufkraft Deutschland ;100
08335043;010;Altstadt;2015;GfK Kaufkraft Deutschland ;97,42200602
08335043;020;Paradies;2015;GfK Kaufkraft Deutschland ;74,95875369
08335043;030;Petershausen-West;2015;GfK Kaufkraft Deutschland ;84,99701399
08335043;035;Petershausen-Ost;2015;GfK Kaufkraft Deutschland ;123,760594
08335043;040;Koenigsbau;2015;GfK Kaufkraft Deutschland ;93,59872114
08335043;050;Allmannsdorf;2015;GfK Kaufkraft Deutschland ;122,0589217
08335043;060;Staad;2015;GfK Kaufkraft Deutschland ;133,6484344
08335043;070;Fuerstenberg;2015;GfK Kaufkraft Deutschland ;96,06860215
08335043;080;Wollmatingen;2015;GfK Kaufkraft Deutschland ;86,98503756
08335043;090;Industriegebiet;2015;GfK Kaufkraft Deutschland ;84,63305287
08335043;100;Egg;2015;GfK Kaufkraft Deutschland ;99,48733674
08335043;110;Litzelstetten;2015;GfK Kaufkraft Deutschland ;127,8639109
08335043;120;Dingelsdorf;2015;GfK Kaufkraft Deutschland ;123,4801123
08335043;130;Dettingen;2015;GfK Kaufkraft Deutschland ;115,7725691
08335043;140;Wallhausen;2015;GfK Kaufkraft Deutschland ;132,4086558
08335043;000;Stadt Konstanz gesamt;2014;GfK Kaufkraft Deutschland ;100
08335043;010;Altstadt;2014;GfK Kaufkraft Deutschland ;96,46835698
08335043;020;Paradies;2014;GfK Kaufkraft Deutschland ;72,0170357
08335043;030;Petershausen-West;2014;GfK Kaufkraft Deutschland ;85,39397155
08335043;035;Petershausen-Ost;2014;GfK Kaufkraft Deutschland ;122,2671247
08335043;040;Koenigsbau;2014;GfK Kaufkraft Deutschland ;93,60905384
08335043;050;Allmannsdorf;2014;GfK Kaufkraft Deutschland ;121,9068585
08335043;060;Staad;2014;GfK Kaufkraft Deutschland ;133,2314232
08335043;070;Fuerstenberg;2014;GfK Kaufkraft Deutschland ;96,13137553
08335043;080;Wollmatingen;2014;GfK Kaufkraft Deutschland ;86,93565666
08335043;090;Industriegebiet;2014;GfK Kaufkraft Deutschland ;86,59046086
08335043;100;Egg;2014;GfK Kaufkraft Deutschland ;98,08964282
08335043;110;Litzelstetten;2014;GfK Kaufkraft Deutschland ;129,3458292
08335043;120;Dingelsdorf;2014;GfK Kaufkraft Deutschland ;123,8220211
08335043;130;Dettingen;2014;GfK Kaufkraft Deutschland ;119,3604605
08335043;140;Wallhausen;2014;GfK Kaufkraft Deutschland ;134,1791644
08335043;000;Stadt Konstanz gesamt;2013;GfK Kaufkraft Deutschland ;100
08335043;010;Altstadt;2013;GfK Kaufkraft Deutschland ;94,03495771
08335043;020;Paradies;2013;GfK Kaufkraft Deutschland ;71,75506752
08335043;030;Petershausen-West;2013;GfK Kaufkraft Deutschland ;87,01159615
08335043;035;Petershausen-Ost;2013;GfK Kaufkraft Deutschland ;121,2080855
08335043;040;Koenigsbau;2013;GfK Kaufkraft Deutschland ;92,04338355
08335043;050;Allmannsdorf;2013;GfK Kaufkraft Deutschland ;121,1745925
08335043;060;Staad;2013;GfK Kaufkraft Deutschland ;137,2807652
08335043;070;Fuerstenberg;2013;GfK Kaufkraft Deutschland ;95,26094708
08335043;080;Wollmatingen;2013;GfK Kaufkraft Deutschland ;85,20688608
08335043;090;Industriegebiet;2013;GfK Kaufkraft Deutschland ;77,84179311
08335043;100;Egg;2013;GfK Kaufkraft Deutschland ;96,75677426
08335043;110;Litzelstetten;2013;GfK Kaufkraft Deutschland ;134,3230352
08335043;120;Dingelsdorf;2013;GfK Kaufkraft Deutschland ;128,1696906
08335043;130;Dettingen;2013;GfK Kaufkraft Deutschland ;120,4509843
08335043;140;Wallhausen;2013;GfK Kaufkraft Deutschland ;139,4151685
08335043;000;Stadt Konstanz gesamt;2012;GfK Kaufkraft Deutschland ;100
08335043;010;Altstadt;2012;GfK Kaufkraft Deutschland ;99,1541557
08335043;020;Paradies;2012;GfK Kaufkraft Deutschland ;77,95285972
08335043;030;Petershausen-West;2012;GfK Kaufkraft Deutschland ;86,61663397
08335043;035;Petershausen-Ost;2012;GfK Kaufkraft Deutschland ;121,6620079
08335043;040;Koenigsbau;2012;GfK Kaufkraft Deutschland ;87,78183972
08335043;050;Allmannsdorf;2012;GfK Kaufkraft Deutschland ;109,3758166
08335043;060;Staad;2012;GfK Kaufkraft Deutschland ;132,6929414
08335043;070;Fuerstenberg;2012;GfK Kaufkraft Deutschland ;94,26030781
08335043;080;Wollmatingen;2012;GfK Kaufkraft Deutschland ;92,16510424
08335043;090;Industriegebiet;2012;GfK Kaufkraft Deutschland ;93,54566204
08335043;100;Egg;2012;GfK Kaufkraft Deutschland ;87,94910828
08335043;110;Litzelstetten;2012;GfK Kaufkraft Deutschland ;125,5626375
08335043;120;Dingelsdorf;2012;GfK Kaufkraft Deutschland ;119,2387932
08335043;130;Dettingen;2012;GfK Kaufkraft Deutschland ;115,4788467
08335043;140;Wallhausen;2012;GfK Kaufkraft Deutschland ;123,6402635
08335043;000;Stadt Konstanz gesamt;2011;GfK Kaufkraft Deutschland ;100
08335043;010;Altstadt;2011;GfK Kaufkraft Deutschland ;99,1541557
08335043;020;Paradies;2011;GfK Kaufkraft Deutschland ;77,95285972
08335043;030;Petershausen-West;2011;GfK Kaufkraft Deutschland ;86,61663397
08335043;035;Petershausen-Ost;2011;GfK Kaufkraft Deutschland ;121,6620079
08335043;040;Koenigsbau;2011;GfK Kaufkraft Deutschland ;87,78183972
08335043;050;Allmannsdorf;2011;GfK Kaufkraft Deutschland ;109,3758166
08335043;060;Staad;2011;GfK Kaufkraft Deutschland ;132,6929414
08335043;070;Fuerstenberg;2011;GfK Kaufkraft Deutschland ;94,26030781
08335043;080;Wollmatingen;2011;GfK Kaufkraft Deutschland ;92,16510424
08335043;090;Industriegebiet;2011;GfK Kaufkraft Deutschland ;93,54566204
08335043;100;Egg;2011;GfK Kaufkraft Deutschland ;87,94910828
08335043;110;Litzelstetten;2011;GfK Kaufkraft Deutschland ;125,5626375
