AGS,Stadtteil_Nr,Stadtteil,Stichtag,Quelle,Wohnbev_insg,Deutsch,Nichtdeutsch,AGS_dup,Stadtteil_Nr_dup,Quelle_dup,Fam_Stand_ledig (ab 18J),Fam_Stand_Verheiratet_Lebenspartnerschaft (ab 18J),Fam_Stand_Verwitwet_LP-gestorben (ab 18J),Fam_Stand_Geschieden_LP aufgehoben (ab 18J),Fam_Stand_unbekannt (ab 18J),GEMEINDE,STT,STADTVIERTEL,EINW_HW_GESAMT,EINW_HW_FRAUEN,EINW_HW_DEUTSCH,EINW_HW_NICHTDEUTSCH,EINW_HW_unter18,EINW_HW_18_bis_unter_30,EINW_HW_30_bis_unter_40,EINW_HW_40_bis_unter_50,EINW_HW_50_bis_unter_60,EINW_HW_60_und_aelter,Haushalte,Wohnbevoelkerung insg.,Religion - katholisch,Religion - evangelisch,Religion - sonstige,Lebendgeburten,Geburten je 1000 Einw.,Sterbefaelle,Sterbefaelle je 1000 Einw.,natuerliche Bevoelkerungssaldo,Kaufkraft-Index (pro Einwohner)
8335043.0,50.0,Allmannsdorf,2022,Stadt Konstanz - Eigene Einwohnerfortschreibung,5421.0,4780.0,641.0,8335043.0,50.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,1777.0,2171.0,315.0,399.0,30.0,Konstanz,"""050""","""0501""",1686.0,927.0,1524.0,162.0,252.0,268.0,182.0,164.0,265.0,555.0,932.0,5421.0,1696.0,1235.0,2490.0,35.0,"6,46",64.0,"11,81",-29.0,"118,4130765"
8335043.0,10.0,Altstadt,2011,Stadt Konstanz - Eigene Einwohnerfortschreibung,11866.0,10306.0,1560.0,8335043.0,10.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,5154.0,3613.0,605.0,959.0,3.0,Konstanz,"""010""","""0101""",1236.0,611.0,1007.0,229.0,125.0,375.0,236.0,207.0,106.0,187.0,845.0,11866.0,4436.0,2732.0,4698.0,113.0,"9,52",116.0,"9,78",-3.0,"99,1541557"
8335043.0,10.0,Altstadt,2012,Stadt Konstanz - Eigene Einwohnerfortschreibung,11894.0,10351.0,1543.0,8335043.0,10.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,5276.0,3568.0,601.0,945.0,0.0,Konstanz,"""010""","""0101""",1259.0,613.0,1000.0,259.0,124.0,392.0,257.0,193.0,104.0,189.0,887.0,11894.0,4411.0,2698.0,4785.0,114.0,"9,58",150.0,"12,61",-36.0,"99,1541557"
8335043.0,10.0,Altstadt,2013,Stadt Konstanz - Eigene Einwohnerfortschreibung,11923.0,10347.0,1576.0,8335043.0,10.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,5329.0,3536.0,600.0,953.0,0.0,Konstanz,"""010""","""0101""",1300.0,650.0,1023.0,277.0,132.0,414.0,250.0,186.0,126.0,192.0,889.0,11923.0,4376.0,2653.0,4894.0,123.0,"10,32",139.0,"11,66",-16.0,"94,03495771"
8335043.0,10.0,Altstadt,2014,Stadt Konstanz - Eigene Einwohnerfortschreibung,11947.0,10342.0,1605.0,8335043.0,10.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,5305.0,3564.0,596.0,963.0,0.0,Konstanz,"""010""","""0101""",1281.0,651.0,1009.0,272.0,130.0,410.0,236.0,178.0,139.0,188.0,865.0,11947.0,4300.0,2654.0,4993.0,129.0,"10,80",124.0,"10,38",5.0,"96,46835698"
8335043.0,10.0,Altstadt,2015,Stadt Konstanz - Eigene Einwohnerfortschreibung,11987.0,10352.0,1635.0,8335043.0,10.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,5278.0,3611.0,587.0,970.0,1.0,Konstanz,"""010""","""0101""",1286.0,639.0,1027.0,259.0,126.0,412.0,224.0,188.0,141.0,195.0,869.0,11987.0,4205.0,2633.0,5149.0,132.0,"11,01",161.0,"13,43",-29.0,"97,42200602"
8335043.0,10.0,Altstadt,2016,Stadt Konstanz - Eigene Einwohnerfortschreibung,11950.0,10305.0,1645.0,8335043.0,10.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,5218.0,3636.0,580.0,970.0,3.0,Konstanz,"""010""","""0101""",1297.0,661.0,1046.0,251.0,125.0,433.0,220.0,174.0,143.0,202.0,863.0,11950.0,4095.0,2594.0,5261.0,118.0,"9,87",119.0,"9,96",-1.0,"97,8875222"
8335043.0,10.0,Altstadt,2017,Stadt Konstanz - Eigene Einwohnerfortschreibung,12064.0,10339.0,1725.0,8335043.0,10.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,5212.0,3657.0,574.0,1003.0,13.0,Konstanz,"""010""","""0101""",1301.0,659.0,1030.0,271.0,141.0,408.0,230.0,166.0,149.0,207.0,858.0,12064.0,4048.0,2550.0,5466.0,135.0,"11,19",139.0,"11,52",-4.0,"99,17438996"
8335043.0,10.0,Altstadt,2018,Stadt Konstanz - Eigene Einwohnerfortschreibung,12116.0,10329.0,1787.0,8335043.0,10.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,5206.0,3683.0,577.0,998.0,27.0,Konstanz,"""010""","""0101""",1282.0,652.0,1002.0,280.0,130.0,401.0,227.0,158.0,155.0,211.0,853.0,12116.0,3998.0,2502.0,5616.0,149.0,"12,30",139.0,"11,47",10.0,"99,60608596"
8335043.0,10.0,Altstadt,2019,Stadt Konstanz - Eigene Einwohnerfortschreibung,12138.0,10312.0,1826.0,8335043.0,10.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,5200.0,3714.0,583.0,989.0,31.0,Konstanz,"""010""","""0101""",1321.0,656.0,1010.0,311.0,142.0,394.0,246.0,162.0,153.0,224.0,872.0,12138.0,3915.0,2438.0,5785.0,129.0,"10,63",130.0,"10,71",-1.0,"96,03061575"
8335043.0,10.0,Altstadt,2020,Stadt Konstanz - Eigene Einwohnerfortschreibung,12080.0,10334.0,1746.0,8335043.0,10.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,5151.0,3697.0,579.0,969.0,54.0,Konstanz,"""010""","""0101""",1287.0,649.0,998.0,289.0,138.0,383.0,239.0,147.0,158.0,222.0,863.0,12080.0,3814.0,2349.0,5917.0,134.0,"11,09",131.0,"10,84",3.0,"96,61157189"
8335043.0,10.0,Altstadt,2021,Stadt Konstanz - Eigene Einwohnerfortschreibung,11952.0,10209.0,1743.0,8335043.0,10.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,5101.0,3668.0,583.0,943.0,63.0,Konstanz,"""010""","""0101""",1263.0,648.0,995.0,268.0,129.0,381.0,215.0,154.0,156.0,228.0,859.0,11952.0,3591.0,2240.0,6121.0,128.0,"10,71",140.0,"11,71",-12.0,"101,2256652"
8335043.0,10.0,Altstadt,2022,Stadt Konstanz - Eigene Einwohnerfortschreibung,12129.0,10191.0,1938.0,8335043.0,10.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,5188.0,3608.0,589.0,954.0,163.0,Konstanz,"""010""","""0101""",1266.0,654.0,1001.0,265.0,138.0,383.0,209.0,154.0,159.0,223.0,849.0,12129.0,3373.0,2176.0,6580.0,98.0,"8,08",162.0,"13,36",-64.0,"98,96463742"
8335043.0,130.0,Dettingen,2011,Stadt Konstanz - Eigene Einwohnerfortschreibung,3055.0,2890.0,165.0,8335043.0,130.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,641.0,1552.0,179.0,167.0,0.0,Konstanz,"""130""","""1301""",1300.0,665.0,1224.0,76.0,217.0,165.0,117.0,189.0,191.0,421.0,629.0,3055.0,1437.0,757.0,861.0,21.0,"6,87",25.0,"8,18",-4.0,"115,4788467"
8335043.0,130.0,Dettingen,2012,Stadt Konstanz - Eigene Einwohnerfortschreibung,3061.0,2896.0,165.0,8335043.0,130.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,695.0,1510.0,179.0,174.0,0.0,Konstanz,"""130""","""1301""",1293.0,676.0,1216.0,77.0,209.0,175.0,119.0,172.0,192.0,426.0,625.0,3061.0,1423.0,740.0,898.0,30.0,"9,80",25.0,"8,17",5.0,"115,4788467"
8335043.0,130.0,Dettingen,2013,Stadt Konstanz - Eigene Einwohnerfortschreibung,3048.0,2878.0,170.0,8335043.0,130.0,Stadt Konstanz - Eigene Einwohnerfortschreibung,686.0,1504.0,194.0,171.0,0.0,Konstanz,"""130""","""1301""",1318.0,677.0,1241.0,77.0,217.0,177.0,130.0,167.0,195.0,432.0,630.0,3048.0,1405.0,725.0,918.0,16.0,"5,25",23.0,"7,55",-7.0,"120,4509843"
