AGS;Stadtteil_Nr;Stadtteil_Name;Jahr;Quelle;Lebendgeburten ;Geburten je 1000 Einw.;Sterbefaelle;Sterbefaelle je 1000 Einw.;natuerliche Bevoelkerungssaldo
08335043;080;Wollmatingen;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;68;10,09;61;9,05;7
08335043;090;Industriegebiet;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;7;7,07;5;5,05;2
08335043;100;Egg;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;7;8,88;7;8,88;0
08335043;110;Litzelstetten;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;36;9,42;33;8,63;3
08335043;120;Dingelsdorf;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;18;8,65;13;6,24;5
08335043;130;Dettingen;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;31;9,28;19;5,69;12
08335043;140;Wallhausen;2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;10;8,81;7;6,17;3
08335043;010;Altstadt;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;129;10,63;130;10,71;-1
08335043;020;Paradies;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;47;7,71;73;11,97;-26
08335043;030;Petershausen-West;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;186;11,61;104;6,49;82
08335043;035;Petershausen-Ost;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;58;8,00;121;16,69;-63
08335043;040;Koenigsbau;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;37;5,99;46;7,44;-9
08335043;050;Allmannsdorf;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;32;5,98;42;7,85;-10
08335043;060;Staad;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;11;6,18;16;8,99;-5
08335043;070;Fuerstenberg;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;110;8,80;95;7,60;15
08335043;080;Wollmatingen;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;65;9,59;63;9,30;2
08335043;090;Industriegebiet;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;9;8,59;7;6,68;2
08335043;100;Egg;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;4;4,93;3;3,69;1
08335043;110;Litzelstetten;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;28;7,25;28;7,25;0
08335043;120;Dingelsdorf;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;17;8,10;20;9,53;-3
08335043;130;Dettingen;2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;28;8,51;23;6,99;5
