AGS;Stadtteil_Nr;Stadtteil;Stichtag;Quelle;Wohnbevoelkerung insg.;Religion - katholisch;Religion - evangelisch;Religion - sonstige
8335043;80;Wollmatingen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;6742;2249;1243;3250
8335043;90;Industriegebiet;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;990;282;120;588
8335043;100;Egg;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;788;264;200;324
8335043;110;Litzelstetten;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;3823;1372;859;1592
8335043;120;Dingelsdorf;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;2082;845;411;826
8335043;130;Dettingen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;3342;1344;693;1305
8335043;140;Wallhausen;31.12.2020;Stadt Konstanz - Eigene Einwohnerfortschreibung;1135;390;250;495
8335043;10;Altstadt;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;12138;3915;2438;5785
8335043;20;Paradies;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;6097;2309;1278;2510
8335043;30;Petershausen-West;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;16021;5136;2959;7926
8335043;35;Petershausen-Ost;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;7248;2393;1604;3251
8335043;40;Koenigsbau;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;6181;2085;1331;2765
8335043;50;Allmannsdorf;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;5348;1842;1312;2194
8335043;60;Staad;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1779;619;410;750
8335043;70;Fuerstenberg;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;12500;4163;2341;5996
8335043;80;Wollmatingen;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;6775;2305;1294;3176
8335043;90;Industriegebiet;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;1048;281;136;631
8335043;100;Egg;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;812;262;215;335
8335043;110;Litzelstetten;31.12.2019;Stadt Konstanz - Eigene Einwohnerfortschreibung;3861;1423;896;1542
